fractal_dimension_worst,count
0.07427,3
0.09026,2
0.1297,2
0.08174,2
0.1055,2
0.0849,2
0.08701,2
0.08633,2
0.1019,2
0.08009,2
0.103,2
0.07083,2
0.0895,2
0.07863,2
0.07127,2
0.1252,2
0.07722,2
0.07987,2
0.07623,2
0.1059,2
0.1023,2
0.09136,2
0.07738,2
0.08839,2
0.06915,2
0.08368,2
0.07809,2
0.07918,2
0.1048,2
0.06386,2
0.06469,2
0.06783,2
0.08151,2
0.07061,1
0.08574,1
0.06766,1
0.09349,1
0.08666,1
0.07287,1
0.06735,1
0.09215,1
0.07055,1
0.07632,1
0.09638,1
0.0747,1
0.07701,1
0.0896,1
0.1403,1
0.12,1
0.06494,1
0.09614,1
0.1189,1
0.1118,1
0.07262,1
0.08304,1
0.07351,1
0.06165,1
0.09251,1
0.09206,1
0.07881,1
0.07745,1
0.06896,1
0.08503,1
0.07012,1
0.07732,1
0.05974,1
0.07834,1
0.07247,1
0.1198,1
0.0732,1
0.08121,1
0.09158,1
0.07053,1
0.07686,1
0.06609,1
0.07081,1
0.1007,1
0.08865,1
0.07602,1
0.07238,1
0.1043,1
0.06623,1
0.08824,1
0.06836,1
0.07582,1
0.09438,1
0.06658,1
0.06958,1
0.07961,1
0.1024,1
0.08553,1
0.05933,1
0.09702,1
0.05932,1
0.08198,1
0.06037,1
0.06174,1
0.08116,1
0.07434,1
0.08253,1
0.05695,1
0.0658,1
0.07037,1
0.06192,1
0.07804,1
0.08385,1
0.06745,1
0.07638,1
0.07842,1
0.09469,1
0.07764,1
0.09929,1
0.06777,1
0.07676,1
0.06643,1
0.06794,1
0.06888,1
0.082,1
0.05521,1
0.08083,1
0.08136,1
0.07431,1
0.07113,1
0.08317,1
0.07188,1
0.07018,1
0.07123,1
0.08815,1
0.105,1
0.06825,1
0.0759,1
0.08763,1
0.08187,1
0.08488,1
0.07953,1
0.07806,1
0.0908,1
0.09825,1
0.08764,1
0.07664,1
0.0987,1
0.1009,1
0.07599,1
0.07207,1
0.07418,1
0.06522,1
0.09166,1
0.09124,1
