,0
id,906024.0
radius_mean,13.37
texture_mean,18.84
perimeter_mean,86.24
area_mean,551.1
smoothness_mean,0.09587
compactness_mean,0.09263
concavity_mean,0.06154
concave points_mean,0.0335
symmetry_mean,0.1792
fractal_dimension_mean,0.06154
radius_se,0.3242
texture_se,1.108
perimeter_se,2.287
area_se,24.53
smoothness_se,0.00638
compactness_se,0.02045
concavity_se,0.02589
concave points_se,0.01093
symmetry_se,0.01873
fractal_dimension_se,0.003187
radius_worst,14.97
texture_worst,25.41
perimeter_worst,97.66
area_worst,686.5
smoothness_worst,0.1313
compactness_worst,0.2119
concavity_worst,0.2267
concave points_worst,0.09993
symmetry_worst,0.2822
fractal_dimension_worst,0.08004
